503642998832242689;Sun Aug 24 20:40:22 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643131624292352;Sun Aug 24 20:40:54 +0000 2014;Photos show earthquake devastation in Napa wine country http://t.co/cGCobSLUn5;
503643013852463104;Sun Aug 24 20:40:26 +0000 2014;RT @dekebridges: 6.0 magnitude earthquake hits northern California.
http://t.co/f8JOGb8rbY
Skaters finding upside to quake damage.
http://t…;
503643081066184704;Sun Aug 24 20:40:42 +0000 2014;Okay, if you live in Napa Valley California, why let a little 6.0 magnitude earthquake ruin your day? http://t.co/azwgbgVm8R;
503642985167609856;Sun Aug 24 20:40:19 +0000 2014;Typical. I go to San Francisco and there's an earthquake. Happened at 3.30am, woke us up. No damage around here anyway;
503643126683009025;Sun Aug 24 20:40:53 +0000 2014;Outstanding images of Bay Area #earthquake damage by @karlmondon and @garyjreyes for @viewfinderbang http://t.co/glKd64JcuT;earthquake, 
503643009817128960;Sun Aug 24 20:40:25 +0000 2014;RT @Frannydink: RT @McMurtrieSF: Quake causes "big, fat mess" at Napa's Copperfield’s Books
http://t.co/vIaxplQaW5 http://t.co/8iGAZ4fboI;
503643126141947904;Sun Aug 24 20:40:53 +0000 2014;RT @Chabad: Chabad center in Napa Valley damaged by #earthquake, but rabbi quickly attends to his community. http://t.co/x31LFXqUoZ;earthquake, 
503643045867188224;Sun Aug 24 20:40:34 +0000 2014;RT @laura_nelson: Oh, California - this, via @vickydnguyen: Skaters find upside to #napaquake. Photo from #nbcbayarea's Jeremy Carroll http…;
503643039764860932;Sun Aug 24 20:40:32 +0000 2014;HOT HT to explore  #ilovejackjbecause #THISISHOWWEDOVMAS #llamasup #napaquake pwrd by http://t.co/c950b2nsbd;ilovejackjbecause, THISISHOWWEDOVMAS, llamasup, napaquake, 
503643063529398272;Sun Aug 24 20:40:38 +0000 2014;Watching RAW VIDEO: Skateboarders Ride Over Buckled Napa Streets http://t.co/GPI5P2x5Wz;
503643028591218688;Sun Aug 24 20:40:29 +0000 2014;RT @nbcbayarea: #BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake;BREAKING, napaquake, 
503643019653181440;Sun Aug 24 20:40:27 +0000 2014;RT @madirosenewman: Don't worry guys. People in Napa only care about the earthquake cause all their wine bottles broke. #sfearthquake;sfearthquake, 
503642992541171712;Sun Aug 24 20:40:21 +0000 2014;RT @TheRyanParker: MT @vickydnguyen
Meadowbrook Lane in Napa-- skaters finding upside to #earthquake damage. Photo from Jeremy Carroll http…;
503642976422096896;Sun Aug 24 20:40:17 +0000 2014;RT @earthquakesSF: A 6.1 magnitude earthquake occurred 3.73mi WSW of American Canyon, California. Details: http://t.co/TdbXdyM5U9 Map: http…;
503643105338216448;Sun Aug 24 20:40:48 +0000 2014;RT @alawine: Sharing Twitter pictures from last night #napaearthquake...(via @nelson @alawine @vinography) http://t.co/kzoMOcxqOY RT @curre…;napaearthquake, 
503643033016233985;Sun Aug 24 20:40:30 +0000 2014;So sad. RT @nbcchicago: Napa Valley winery loses hundreds of bottles following Sunday's #earthquake (cont) http://t.co/LKx3PnCZ7f;earthquake, 
503643104709066752;Sun Aug 24 20:40:48 +0000 2014;Earthquake Strikes Napa Valley; Wineries Assess Damage (Wine Spectator): Dozens injured, buildings damaged and... http://t.co/xsS8xrPmWz;
503643004759195650;Sun Aug 24 20:40:24 +0000 2014;RT @RedCrossCRC: 2 shelters open for #napaquake: Crosswalk Cmnty Church, 2590 1st St, #NAPA &amp; Florence Douglas Cntr, 333 Amador St, #VALLEJ…;napaquake, NAPA, 
503643130923466753;Sun Aug 24 20:40:54 +0000 2014;RT @PGE4Me: Stay away from downed power lines - immediately call 911 and PG&amp;E to report at 1-800-PGE-5000. #napaquake #southnapaquake;napaquake, southnapaquake, 
503643062715703296;Sun Aug 24 20:40:38 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503642977588494337;Sun Aug 24 20:40:17 +0000 2014;RT @KQEDnews: UC Berkeley's early warning system gave residents 10 seconds to prepare for the #napaquake. http://t.co/vRFhAtVOZB;napaquake, 
503643044827394048;Sun Aug 24 20:40:33 +0000 2014;“@SteveKuzj: Wineries all across #napavalley looking like this today. #napaquake http://t.co/hfmmjeDccK” una verdadera tragedia @lolacast28;napavalley, napaquake, 
503643050128592896;Sun Aug 24 20:40:35 +0000 2014;I guess I’ll get to experience the quake area first hand next week. Hope all friends in the California area are ok. #napaquake;napaquake, 
